convo_id,user,line_id,line,K1,K2,K3,K4,K5,K6,K7,K8,primary,secondary
conv1,P15,1643,我幫你立刻刪除,0,0,0,1,0,0,0,0,K4,
conv1,P16,1644,沒年假太過分了,0,0,0,0,0,0,0,1,K8,
conv1,P12,1645,服務業是這樣,0,0,0,0,0,0,0,1,K8,
conv1,P4,1646,那是真的有點累了,0,0,0,0,0,0,0,1,K8,
conv1,P4,1647,那沒事了,0,0,0,0,0,0,0,1,K8,
conv1,P16,1648,服務也沒年終也是很過分 累得半死,0,0,0,0,0,0,0,1,K8,
conv1,P15,1649,還記得我的第一份工作 年終3600,0,1,0,0,0,0,0,0,K2,
conv1,P18,1650,所以我的年終獎金勒,0,0,0,0,1,0,0,0,K5,
conv1,P15,1651,打發我,0,0,0,1,0,0,0,0,K4,
conv1,P4,1652,所以我的年終獎金勒,0,0,0,0,1,0,0,0,K5,
conv1,P16,1653,但年終本來就沒有規定要給 看老闆ㄉ,0,0,0,0,1,0,0,0,K5,
conv1,P15,1654,閉嘴啦 大學生,0,0,0,0,0,0,0,1,K8,
conv1,P16,1655,"""酥皮（戒糖）"" 所以我的年終獎金勒",0,0,0,0,0,0,0,1,K8,
conv1,P15,1656,寶貝,0,0,0,0,0,0,0,1,K8,
conv1,P15,1657,你標錯人了,0,0,0,0,0,0,0,1,K8,
conv1,P16,1658,沒有 就是要標你,0,0,0,0,0,0,0,1,K8,
conv1,P15,1659,"""結冰水"" 我的年終勒",0,0,0,0,0,0,0,1,K8,
conv1,P16,1660,"""結冰水"" 我的年終勒",0,0,0,0,0,0,0,1,K8,
conv1,P18,1661,"""結冰水"" 我的年終勒",0,0,0,0,0,0,0,1,K8,
conv1,P16,1662,這個也行,0,0,0,0,0,0,0,1,K8,
conv1,P15,1663,我可以給你,0,1,0,1,0,0,0,0,K2,K4
conv1,P15,1664,200塊,0,1,0,0,0,0,0,0,K2,
conv1,P16,1665,養我,0,0,0,1,0,0,0,0,K4,
conv1,P15,1666,養我,0,0,0,1,0,0,0,0,K4,
conv1,P16,1667,我很好養的 嗯嗯嗯,0,0,0,1,0,0,0,0,K4,
conv1,P4,1668,"""結冰水"" 我的年終勒",0,0,0,0,0,0,0,1,K8,
conv1,P15,1669,"""新鮮現榨香菜汁"" 有200塊還嫌啊",0,0,0,0,0,0,0,1,K8,
conv1,P15,1670,其他人你看看我給不給,0,0,0,1,0,0,0,0,K4,
conv1,P16,1671,他有啊 沒有嗎,1,0,0,0,0,0,0,0,K1,
conv1,P4,1672,我繼續睡覺好了,0,0,0,1,0,0,0,0,K4,
conv1,P1,1673,還以為大當家要發獎金,0,0,0,0,0,0,0,1,K8,
conv1,P15,1674,香菜 你知道有些話不太能講,0,0,0,0,0,0,0,1,K8,
conv1,P16,1675,呃嘿嘿嘿嘿嘿,0,0,0,0,0,0,0,1,K8,
conv1,P15,1676,但我很想講,0,0,0,0,1,0,0,0,K5,
conv1,P15,1677,但就,0,0,0,0,1,0,0,0,K5,
conv1,P15,1678,來了,0,0,0,0,1,0,0,0,K5,
conv1,P15,1679,你各位,0,0,0,0,0,0,0,1,K8,
conv1,P15,1680,大當家要發年終了,0,0,0,0,0,0,0,1,K8,
conv1,P14,1681,可以答應大家過年有打幫戰的話多抽一點,0,0,0,0,0,0,0,1,K8,
conv1,P15,1682,那我跟你好了,0,0,0,1,0,0,0,0,K4,
conv1,P16,1683,腰細腿長奶大的冰冰 我的年終獎金呢,0,0,0,1,0,0,0,0,K4,
conv1,P15,1684,那我過年可以不指揮嗎,0,0,0,1,0,0,0,0,K4,
conv1,P14,1685,看我今年買一本刮刮樂能中多少,0,0,0,1,0,0,0,0,K4,
conv1,P16,1686,我在日本欸 打不了一點,0,0,0,1,0,0,0,0,K4,
conv1,P15,1687,分我我刮五張,0,0,0,1,0,0,0,0,K4,
conv1,P18,1688,不信 給結冰水拍一張看看實力,0,0,0,0,0,0,0,1,K8,
conv1,P4,1689,為什麼你又去日本,1,0,0,0,0,0,0,0,K1,
conv1,P15,1690,他要跟我去度蜜月,0,1,0,0,0,0,0,0,K2,
conv1,P15,1691,怎麼了,1,0,0,0,0,0,0,0,K1,
conv1,P16,1692,什麼叫做又 哪有又,0,1,0,0,0,0,0,0,K2,
conv1,P15,1693,"""新鮮現榨香菜汁"" 寶貝 選好行程了嗎",1,0,0,0,0,0,0,0,K1,
conv1,P16,1694,走啊,0,0,0,0,0,0,0,1,K8,
conv1,P15,1695,"""小公主（吃老爸陽壽長大）"" 寶貝一起去日本度蜜月嗎",0,0,1,0,0,0,0,0,K3,
conv1,P15,1696,"""雨繧（鹹魚秒傷19九靈）"" 寶貝 一起去日本度蜜月嗎",0,0,1,0,0,0,0,0,K3,
conv1,P16,1697,渣女,0,0,0,0,0,0,0,1,K8,
conv1,P1,1698,你全付還是AA,0,0,0,0,0,0,0,1,K8,
conv1,P15,1699,"""對不起"" 寶貝 一起去日本度蜜月嗎",0,0,1,0,0,0,0,0,K3,
conv1,P18,1700,酥皮說他請客,0,0,0,0,0,0,0,1,K8,
conv1,P15,1701,出去玩怎麼可以讓女生出錢,1,0,0,0,0,0,0,0,K1,
conv1,P1,1702,要要要,0,1,0,0,0,0,0,0,K2,
conv1,P15,1703,"當然是 ""結冰水"" 出啊",0,0,0,0,0,0,0,1,K8,
conv1,P8,1704,不用付錢那好,0,0,0,0,0,0,0,1,K8,
conv1,P1,1705,好女人！,0,0,0,0,0,0,0,1,K8,
conv1,P1,1706,北海道靠你了，謝謝老闆,0,0,0,0,0,0,1,0,K7,
conv1,P15,1707,人家是女森耶,0,0,0,0,0,0,0,1,K8,
conv1,P12,1708,你們把發問的人幹道沉默了,0,0,0,0,0,0,0,1,K8,
conv1,P15,1709,我沒有 我只是歪樓了,0,0,0,1,0,0,0,0,K4,
conv1,P15,1710,我這叫雨露均霑,0,0,0,1,0,0,0,0,K4,
conv1,P16,1711,他又不發年終給我,0,0,0,1,0,0,0,0,K4,
conv1,P18,1712,"那不重要 現在重點是 ""酥皮（戒糖）"" 要出錢請人去日本玩",0,0,0,0,0,0,0,1,K8,
conv1,P15,1713,我是不是說是結冰水,0,0,0,1,1,0,0,0,K4,K5
conv1,P15,1714,我建議你睜開眼睛,0,1,0,1,0,0,0,0,K2,K4
conv1,P18,1715,你從結冰水的錢包拿錢來出,0,0,0,0,0,0,0,1,K8,
conv1,P12,1716,你可以出錢請人去緬北玩,0,0,0,0,0,0,0,1,K8,
conv1,P16,1717,"錯了 是 ""酥皮（戒糖）"" 請客 ""結冰水"" 結帳",0,0,0,0,0,0,0,1,K8,
conv1,P15,1718,來來來來了,0,0,0,0,0,0,0,1,K8,
conv1,P15,1719,極樂淨土員工旅遊,0,0,0,0,0,0,0,1,K8,
conv1,P18,1720,結冰水的錢包歸酥皮管,0,0,0,0,0,0,0,1,K8,
conv1,P15,1721,只限女的可以報名,0,0,0,0,0,0,0,1,K8,
conv1,P12,1722,那我可以報名嗎,0,0,0,1,0,0,0,0,K4,
conv1,P12,1723,我也4女森,0,0,0,1,0,0,0,0,K4,
conv1,P15,1724,可以 腹肌姊妹,0,0,0,0,0,0,0,1,K8,
conv1,P18,1725,"你從結冰水錢包拿的錢要被 ""蘇皮"" 收走了嗎",1,0,0,0,0,0,0,0,K1,
conv1,P13,1726,到底是誰@我,0,0,0,1,0,0,0,0,K4,
conv1,P15,1727,好了啦 造謠仔,0,0,0,0,0,0,0,1,K8,
conv1,P14,1728,有沒有可能我沒有錢包,1,0,0,0,1,0,0,0,K1,K5
conv1,P16,1729,需要我幫你@他嗎,0,0,0,1,0,0,0,0,K4,
conv1,P13,1730,真的是,0,0,0,0,0,0,0,1,K8,
conv1,P15,1731,"""寒繧(海豹秒傷19破鐵）"" 我",0,0,0,0,0,0,0,1,K8,
conv1,P14,1732,南部人都是用橡皮筋,0,0,0,0,0,0,0,1,K8,
conv1,P16,1733,懂了 只有信用卡 謝謝冰冰,0,1,0,0,0,0,1,0,K7,K2
conv1,P18,1734,我用錢包欸,0,0,0,1,0,0,0,0,K4,
conv1,P15,1735,南部人不是都用行李袋嗎,0,0,0,0,1,0,0,0,K5,
conv1,P18,1736,"結冰水的小金庫 ""寒繧(海豹秒傷19破鐵）"" 你知道位置嗎",1,0,0,0,0,0,0,0,K1,
conv1,P15,1737,噓不要說出來,0,1,0,0,0,0,0,0,K2,
conv1,P15,1738,我聽到敲門的聲音了,0,0,0,1,0,0,0,0,K4,
conv1,P13,1739,我不知道,0,0,0,1,0,0,0,0,K4,
conv1,P15,1740,那你倒是去找啊,0,0,0,0,0,0,0,1,K8,
conv1,P2,1741,你有留阿志髮型喔,0,0,0,0,0,0,0,1,K8,
conv1,P16,1742,那你的小金庫呢,0,0,0,0,0,0,0,1,K8,
conv1,P13,1743,我懶,0,0,0,1,0,0,0,0,K4,
conv1,P18,1744,還是結冰水的錢都用橡皮筋捆起來放褲裡 每個褲子都放一些 確保每天穿上褲子就有錢,0,0,0,0,0,0,0,1,K8,
conv1,P13,1745,藏起來了 去找吧,0,0,0,0,0,0,0,1,K8,
conv1,P15,1746,什麼 你們不知道嗎,1,0,0,0,0,0,0,0,K1,
conv1,P15,1747,在南部 你只要說你認識結冰水 買東西就不用錢嗎,0,1,0,0,0,0,0,0,K2,
conv1,P13,1748,酥皮每天帶著我去打架,0,1,0,0,0,0,0,0,K2,
conv1,P15,1749,喔 要記得報本名,0,1,0,0,0,0,0,0,K2,
